1	people	23
2	bike	14
3	lanes	12
4	based	11
5	business	11
6	retirement	11
7	questions	10
8	during	10
9	time	10
10	passage	10
11	night	9
12	drugs	9
13	heard	8
14	school	8
15	many	8
16	work	8
17	different	8
18	around	8
19	likely	8
20	drug	8
21	new	7
22	day	7
23	way	7
24	cycle	7
25	owners	7
26	working	7
27	car	6
28	students	6
29	help	6
30	much	6
31	city	6
32	timing	6
33	taking	6
34	reasons	6
35	less	6
36	financial	6
37	years	5
38	change	5
39	follow	5
40	take	5
41	tend	5
42	parking	5
43	customers	5
44	increase	5
45	hour	5
46	body	5
47	medicine	5
48	medicines	5
49	effects	5
50	patients	5
51	games	4
52	enjoy	4
53	possible	4
54	make	4
55	part	4
56	stay	4
57	percent	4
58	traditional	4
59	cyclists	4
60	businesses	4
61	hairdresser	4
62	covid	4
63	says	4
64	data	4
65	making	4
66	research	4
67	americans	4
68	delay	4
69	doing	4
70	news	3
71	report	3
72	first	3
73	opening	3
74	chocolate	3
75	reduce	3
76	intake	3
77	health	3
78	eating	3
79	following	3
80	learning	3
81	higher	3
82	seating	3
83	effect	3
84	bikes	3
85	too	3
86	notes	3
87	professor	3
88	streets	3
89	said	3
90	lane	3
91	cycling	3
92	seems	3
93	culture	3
94	minds	3
95	until	3
96	local	3
97	according	3
98	skillman	3
99	ave	3
100	increased	3
